data_num,MQ7,MQ2,MQ4,MQ5,MQ5,MQ3,Label
538,146,64,97,85,87,122,2
539,146,66,97,86,86,121,2
540,146,64,96,84,87,122,2
541,145,63,96,85,87,122,2
542,146,65,97,86,87,122,2
543,146,64,97,85,87,121,2
544,146,64,96,86,86,122,2
545,146,64,97,84,87,122,2
546,146,64,97,85,87,123,2
547,146,64,96,85,86,121,2
548,147,64,98,87,87,121,2
549,146,65,97,88,86,121,2
550,146,64,96,85,87,124,2
551,146,63,97,85,86,121,2
552,146,64,95,86,86,122,2
553,146,64,96,86,87,119,2
554,146,63,96,85,85,121,2
555,146,64,96,84,87,120,2
556,146,64,96,85,86,121,2
557,146,64,97,85,86,121,2
558,146,62,97,84,87,119,2
559,146,64,96,85,86,121,2
560,146,64,98,86,89,121,2
561,146,64,96,84,88,120,2
562,146,65,97,86,87,119,2
563,146,64,96,85,86,121,2
564,146,64,96,85,85,121,2
565,146,64,99,86,86,120,2
566,146,65,96,85,86,124,2
567,146,63,97,85,87,121,2
568,146,64,97,85,87,121,2
569,146,66,97,88,86,121,2
570,146,64,97,85,87,121,2
571,146,65,97,85,86,122,2
572,146,65,97,85,87,122,2
573,146,64,96,84,86,122,2
574,146,65,97,88,87,123,2
575,146,65,96,85,87,121,2
576,146,65,96,85,87,123,2
577,146,65,96,85,86,123,2
578,146,65,96,86,87,123,2
579,146,66,96,86,86,123,2
580,146,65,96,85,87,123,2
581,146,63,96,86,85,123,2
582,148,64,97,85,88,123,2
583,147,65,97,83,86,123,2
584,146,65,96,85,85,124,2
585,146,64,96,84,86,122,2
586,146,65,96,85,87,126,2
587,146,65,97,85,87,124,2
588,147,65,97,86,89,123,2
589,146,65,96,86,85,124,2
590,146,65,96,85,87,124,2
591,147,65,96,85,86,124,2
592,146,66,97,86,87,124,2
593,146,65,96,85,86,125,2
594,146,65,96,86,87,124,2
595,146,65,97,85,86,124,2
596,146,65,96,86,87,124,2
597,146,65,96,85,87,124,2
598,146,65,97,85,87,124,2
599,145,65,96,86,86,124,2
600,146,65,100,86,87,124,2
601,146,65,97,87,87,123,2
602,146,67,97,87,87,124,2
603,146,65,97,85,86,124,2
604,146,65,95,85,87,124,2
605,146,65,96,85,86,124,2
606,146,65,97,85,87,124,2
607,146,64,101,86,87,124,2
